condition,hours,seed,policy,dt_ms,iei_ms,fit_min,fit_max,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n,ks_iid_p,lognormal_a,lognormal_b,lognormal_bound_hit,aic_powerlaw_minus_lognormal,signature_regression,signature_mle
mixed,70.0,42,iei_rounded,4.0,4.48140887423207,1,30,0.6047612720665335,2.023991593009114,0.9855785982387614,798223,0.9840996814173483,4.3451654487530424,396,1.6109615573806284,0.3635530354821447,41180.9746345834,67.47439774068887,0.06784872242489909,785531,0.005,0.8838823357389374,0.3072093821198175,False,44463.531430405565,False,False
mixed,70.0,42,iei_rounded,4.0,4.48140887423207,1,15,0.6047612720665335,1.8046318480832566,0.9823406622703311,798223,0.9588410757394863,4.3451654487530424,396,1.5158063123881842,0.43490859088741196,11667.136302198338,29.76542349097871,0.05051566895053422,765369,0.005,0.830182653256673,0.33979176177061765,False,27664.81349746324,False,False
mixed,70.0,42,iei_rounded,4.0,4.48140887423207,1,59,0.6047612720665335,2.183638117287102,0.9895456912981002,798223,0.9936446331413653,4.3451654487530424,396,1.6724548303796798,0.32085192406101837,79772.14007329145,90.48923923104978,0.08106977264848292,793150,0.005,0.9310616996274201,0.28199424066725104,False,58208.56891910266,False,False
mixed,70.0,42,iei_rounded,4.0,4.48140887423207,3,30,0.6047612720665335,2.229211042171703,0.9972393008436761,798223,0.3680650645245752,4.3451654487530424,396,2.074402077708717,0.24685341745480016,13122.760984043105,60.66950220068079,0.02118303401285776,293798,0.005,1.3016721069030714,0.19744147736938797,False,1558.1002750399057,False,False
mixed,70.0,42,fixed_10,10.0,4.48140887423207,1,30,0.9862630177374102,1.5260854073168328,0.9834482594762772,303306,0.9012251653445695,11.435352416371584,419,1.2687164636860846,0.22105462183132163,10502.119062414025,34.500372888459964,0.06547161279588515,273347,0.005,0.5956124076411595,0.24848673850848904,False,14525.954622105462,True,False
mixed,70.0,42,fixed_10,10.0,4.48140887423207,1,15,0.9862630177374102,1.356896988073139,0.9753957762583673,303306,0.8387173349686455,11.435352416371584,419,1.1628722336522959,0.2913661086243504,734.5310441647416,3.982304747257123,0.04814381081998953,254388,0.005,0.5206623174271817,0.28790230417090945,False,8466.948841225589,True,False
mixed,70.0,42,fixed_10,10.0,4.48140887423207,1,59,0.9862630177374102,1.4628871515120943,0.98680393032514,303306,0.9517912603113687,11.435352416371584,419,1.3131066906558235,0.15269376930587614,45403.285956230226,99.00261077831895,0.07195807516804592,288684,0.005,0.7728098000837883,0.16959987787515438,False,13471.357837433694,True,True
mixed,70.0,42,fixed_10,10.0,4.48140887423207,3,30,0.9862630177374102,1.6941230283193476,0.9976900973571912,303306,0.4802443736688361,11.435352416371584,419,1.6181297745985521,0.169289973357324,5080.698360727842,39.606430586698046,0.01761708551110361,145661,0.005,1.0174672928599438,0.1462929747935317,False,537.6065680761822,True,True
mixed,70.0,42,selected_regression,10.0,4.48140887423207,1,30,0.9862630177374102,1.5260854073168328,0.9834482594762772,303306,0.9012251653445695,11.435352416371584,419,1.2687164636860846,0.22105462183132163,10502.119062414025,34.500372888459964,0.06547161279588515,273347,0.005,0.5956124076411595,0.24848673850848904,False,14525.954622105462,True,False
mixed,70.0,42,selected_mle,8.0,4.48140887423207,1,30,0.8653512651093422,1.656656504857085,0.9823379202647171,387938,0.9353015172527569,8.940632265980646,419,1.34830868909477,0.2496757855291794,13988.110760554233,38.163116584458606,0.06839044034549313,362839,0.005,0.6410379319977817,0.2692720865308365,False,21087.93421679968,True,True
