condition,hours,seed,policy,dt_ms,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n
homogeneous,0.25,104,iei_float,54.35913357400722,0.8278720884326886,2.6472849923990482,0.8647039214578531,4054,1.0,3.554514060187469,26,1.402717819607597,0.3301915986219842,-628.0362310669747,-22.89264428145025,0.13485163077821727,4054
homogeneous,0.25,104,iei_100,38.0,0.6105089538171536,3.105747696538135,0.8762262110098318,5847,1.0,2.464511715409612,17,1.7253869508152722,0.520470438110574,-828.3604113640928,-26.789078854677857,0.13784220245970458,5847
homogeneous,0.25,104,iei_400,62.0,0.9914184755174155,2.315677640627206,0.8406110481479843,3396,0.9994110718492344,4.2432273262661955,35,1.255810540720633,0.26937787956218173,-575.8461157223595,-23.857440884300388,0.1346346971433341,3394
homogeneous,0.25,105,iei_float,54.048918156161804,0.838154808444097,2.381515151048143,0.8617193380587078,4057,1.0,3.550653192013803,29,1.4077887962190356,0.3306190296341428,-603.439699446175,-21.32113398356348,0.13064899362659238,4057
homogeneous,0.25,105,iei_100,37.0,0.5784936479128857,2.9146066044309356,0.8762665509064178,6019,1.0,2.393254693470676,15,1.7595728041884673,0.5410109155963114,-803.9165011489504,-25.67252651072063,0.1292716008144666,6019
homogeneous,0.25,105,iei_400,62.0,0.9632426988922457,2.2492091193708084,0.8354164576055501,3369,1.0,4.275749480558029,29,1.2622815145341182,0.26567428161522266,-494.7862070754879,-19.271394054586626,0.12106479697114655,3369
homogeneous,0.25,106,iei_float,54.38809558502113,0.8735271013354281,2.582265469028707,0.8277710366830847,4068,1.0,3.517699115044248,25,1.3985737544442234,0.33431240755116065,-704.7400842320075,-26.345362546126896,0.14569941602183017,4068
homogeneous,0.25,106,iei_100,37.0,0.593416572077185,3.018502801001913,0.8563998374026198,5991,1.0,2.388582874311467,15,1.7579693811974284,0.5424157631565818,-828.1386642109567,-26.74661543968907,0.13345808371583012,5991
homogeneous,0.25,106,iei_400,62.0,0.985929648241206,2.3164004349687364,0.8390475183805238,3394,1.0,4.216263995285798,26,1.2618380471747752,0.27006014862432315,-554.7085243440284,-22.35841293969983,0.13672215231375,3394
homogeneous,0.25,107,iei_float,54.79763727849486,0.8570861452957523,2.4136148604615744,0.8590394341661115,4009,1.0,3.560987777500624,26,1.3919510673305044,0.3294773517147427,-675.9437026538666,-24.772349714084545,0.14276047944695675,4009
homogeneous,0.25,107,iei_100,38.0,0.6022622345337026,2.9891976000046343,0.8994670458539317,5921,1.0,2.411079209592974,24,1.7435146988868784,0.5357187198035498,-861.1597354431461,-27.499798001100576,0.13636400245434155,5921
homogeneous,0.25,107,iei_400,62.0,0.9989974937343359,2.3737125878270837,0.8304525424376266,3388,1.0,4.213695395513577,27,1.2568239352879242,0.27025260434146625,-580.5782439366772,-23.815469805853787,0.13908468749289707,3388
homogeneous,0.25,108,iei_float,54.464203066242405,0.8771929824561403,2.616662688072709,0.8620809409151392,4088,1.0,3.521037181996086,27,1.3971921525570128,0.333934572018434,-711.9465064999617,-26.420986205870225,0.13908047049366512,4088
homogeneous,0.25,108,iei_100,37.0,0.5830870652421005,2.9336361504261963,0.8808290533329122,6062,1.0,2.3744638733091388,16,1.7650467229827367,0.5467072371167809,-827.4727704040847,-26.39503583854452,0.1337895042824288,6062
homogeneous,0.25,108,iei_400,62.0,0.9942224362060664,2.0286643243406077,0.856072861921408,3463,0.9997112330349408,4.156511695062085,34,1.2717520040750063,0.2752730436675951,-580.7636089213493,-23.502098611799045,0.13184117914052854,3462
homogeneous,0.25,109,iei_float,54.45489401721768,0.854372774040364,2.5711244473817936,0.8797765719757557,4048,1.0,3.5548418972332017,30,1.3989777391724711,0.3301553546360929,-648.9203678592613,-23.01697048870661,0.1381574569578573,4048
homogeneous,0.25,109,iei_100,38.0,0.6057736720554272,3.017828924919792,0.855171469951463,5923,1.0,2.429512071585345,16,1.7369541028692854,0.5303562033441607,-855.5098258427297,-27.91351153605669,0.13467068728572112,5923
homogeneous,0.25,109,iei_400,62.0,0.9703849950641659,2.3359743087983786,0.8670868034143854,3378,0.9997039668442865,4.2599171107164,31,1.2607322194495953,0.267409235779968,-524.8891125040407,-20.527203202018654,0.12691827874331887,3377
homogeneous,0.25,110,iei_float,54.12574415565558,0.8615384615384616,2.511814657514096,0.8491969859121311,4042,1.0,3.553933696190005,24,1.4002238436651648,0.3302557800066602,-641.7679247599737,-23.86606510177613,0.1320698026132247,4042
homogeneous,0.25,110,iei_100,37.0,0.5957351290684624,3.0022584587347043,0.8767902165317881,5998,1.0,2.394964988329443,17,1.7575884861219162,0.5404984800515145,-811.4251150963518,-26.2416508309706,0.12996424047547994,5998
homogeneous,0.25,110,iei_400,62.0,0.9820538384845464,2.3171687838065242,0.8428832241913435,3415,0.9997071742313324,4.206442166910688,42,1.2658797717195593,0.271633060531402,-557.371311022004,-22.04965745490011,0.13459228422406613,3414
homogeneous,0.25,111,iei_float,53.943005181347154,0.8767716535433071,2.5276829508008607,0.8613963561162975,4045,1.0,3.576761433868974,25,1.3887043486690818,0.32774976901926356,-680.346895052383,-24.588758585402946,0.14254515178476007,4045
homogeneous,0.25,111,iei_100,38.0,0.6209470492185678,2.980258191923504,0.8616323891875203,5918,1.0,2.4447448462318353,16,1.7263742280637313,0.5260068403391462,-891.7159093720193,-29.322589597246292,0.1401850070206656,5918
homogeneous,0.25,111,iei_400,61.0,0.9904426559356136,2.4176626417265563,0.8319422272945313,3414,0.9997070884592852,4.23784417106034,33,1.2599954197656285,0.26907868662321754,-554.7862322518404,-22.488831321467103,0.13630393401846,3413
homogeneous,0.25,112,iei_float,54.27805647126272,0.8498267231420871,2.4839478040352234,0.8664734849715036,4035,1.0,3.5940520446096653,29,1.3965084593579942,0.32587650088075537,-609.585281744704,-21.249571413413594,0.13235612401844538,4035
homogeneous,0.25,112,iei_100,38.0,0.6074142297950725,2.916982748874705,0.9009278532169652,5874,1.0,2.4688457609805923,19,1.730297801451636,0.5192724229220718,-779.9300936577173,-24.084240443187046,0.12914081588681875,5874
homogeneous,0.25,112,iei_400,62.0,0.9682697074863659,2.0108947075636316,0.8819451450072553,3429,1.0,4.229221347331584,26,1.2690704060008802,0.269093231954348,-512.6271545224275,-19.63801798496516,0.12484837496453219,3429
