distribution,n,seed,tau_mle,exp_rate,llr,vuong_z,ks,fit_n,ks_iid_p,lognormal_a,lognormal_b,lognormal_bound_hit,aic_powerlaw_minus_lognormal
exact_powerlaw,1000,200,1.4865646542018158,0.25496687696550235,221.18342806967885,10.532268653569181,0.013839663975194538,1000,0.285,1.4865646542018158,0.0,False,-1.9999999999990905
exact_powerlaw,1000,201,1.5472103394498529,0.27007991688797883,253.39385861100493,11.380007060785141,0.01734364168540553,1000,0.165,1.5472103394498529,0.0,False,-2.0
exact_powerlaw,1000,202,1.4935323859535874,0.2634948855131084,199.47438158966776,9.485762386975368,0.0071212111568615954,1000,0.99,1.4935323859535874,0.0,False,-2.0000000000009095
exact_powerlaw,1000,203,1.4786276897917308,0.2613663487740687,185.57790585005003,8.857891908639376,0.00578724556161625,1000,0.985,1.4551313581998793,0.009042477227834177,False,-1.9342646004488415
exact_powerlaw,1000,204,1.455487471640291,0.2463657634065911,208.78700145426396,10.31338312366532,0.01600706263008761,1000,0.225,1.455487471640291,0.0,False,-2.0
exact_powerlaw,1000,205,1.5595637592905351,0.292021653175619,194.82811631718678,8.915793770254178,0.009990454360384371,1000,0.735,1.5439359567423498,0.006168639776749485,False,-1.9715937981200113
exact_powerlaw,1000,206,1.5666748692010533,0.2981419854033103,184.6933451648135,8.2149884835073,0.014114623228992207,1000,0.33,1.452407410575035,0.04548861735429293,False,-0.492004391743194
exact_powerlaw,1000,207,1.4909745029961083,0.2575462072507765,217.88426233799112,10.418461489602763,0.016573334509779047,1000,0.185,1.4909745029961083,0.0,False,-1.9999999999990905
exact_powerlaw,1000,208,1.4585730580568903,0.26645688876955076,137.48375871025996,6.821980295696498,0.01820424079190691,1000,0.17,1.2342261703589419,0.08670490230432339,False,3.9640947080370097
exact_powerlaw,1000,209,1.4606016253899288,0.25027331724408497,201.1352444405876,9.903531616954464,0.010605165439443787,1000,0.71,1.4606016253899288,0.0,False,-2.0
exact_powerlaw,1000,210,1.496978828281188,0.2715098702252502,175.347558258118,8.220859084529003,0.011607636827179246,1000,0.595,1.4275852985959194,0.026929914364869485,False,-1.4304606358036835
exact_powerlaw,1000,211,1.510927876062146,0.2744903670591493,185.0166757338926,8.780500703389661,0.013262230043287082,1000,0.435,1.486482739060448,0.009504991159829957,False,-1.9294691698178212
exact_powerlaw,1000,212,1.518106285118014,0.2659467687498933,226.2517953536444,10.229398475211173,0.011186385023338241,1000,0.655,1.518106285118014,0.0,False,-2.0
exact_powerlaw,1000,213,1.5127507938303157,0.2765120690024211,180.50496360187438,8.703582649599738,0.02028040635835482,1000,0.075,1.4854265013296484,0.010632401499501018,False,-1.911932483460987
exact_powerlaw,1000,214,1.4804834168069387,0.26807216362243935,163.6743969421445,7.812681217258796,0.01531556678164725,1000,0.26,1.3716458714021835,0.042104048727597924,False,-0.595327562276907
exact_powerlaw,1000,215,1.5776823354785012,0.29769014587130294,201.9711938083993,8.7599300382284,0.013363336245452051,1000,0.315,1.53922553776487,0.01529075980469978,False,-1.8292116538477785
exact_powerlaw,1000,216,1.511548723866385,0.271132181754803,197.9231483934781,8.926960074567862,0.012749514061170752,1000,0.47,1.473261061165666,0.014902017772991527,False,-1.827099867430661
exact_powerlaw,1000,217,1.4862186187841129,0.24949569656740278,241.61172214295073,11.87329895795706,0.022532964250833065,1000,0.03,1.4862186187841129,0.0,False,-1.9999999999990905
exact_powerlaw,1000,218,1.5560506717985643,0.2778493258622058,238.47471195475657,10.718248267054676,0.013950804528974403,1000,0.36,1.5560506717985643,0.0,False,-2.0000000000009095
exact_powerlaw,1000,219,1.5104108016644577,0.260453923544795,235.32960127588683,11.07698918573729,0.020171112523458157,1000,0.065,1.5104108016644577,0.0,False,-2.0
exact_powerlaw,1000,220,1.5389436034306723,0.27943842460747903,208.20911281013812,9.225559341970126,0.008337100546353726,1000,0.845,1.5389436034306723,0.0,False,-2.0
exact_powerlaw,1000,221,1.509155007289218,0.2675562185142206,207.36893028044088,9.784642882358638,0.01175300809344293,1000,0.575,1.509155007289218,0.0,False,-2.0
exact_powerlaw,1000,222,1.5320539785553198,0.28672575022313573,173.04521602438248,8.111816985890409,0.017819204935773547,1000,0.125,1.3946021253078216,0.0541702289887866,False,0.2042947825839292
exact_powerlaw,1000,223,1.5059960420682987,0.26003480390236955,230.46597812021614,10.64596398392399,0.015272405467807726,1000,0.345,1.5059960420682987,0.0,False,-2.0
exact_powerlaw,1000,224,1.49882931390591,0.26306659081253525,208.77878601227604,9.75070234566967,0.017059436117097204,1000,0.14,1.49882931390591,0.0,False,-2.0
exact_powerlaw,1000,225,1.526153539825442,0.2810449560693863,184.07975685996664,8.558795236589468,0.014150313409063475,1000,0.32,1.4932765366534768,0.012852110275631061,False,-1.873032941006386
exact_powerlaw,1000,226,1.5106725893751527,0.2734133414823946,188.48063129565432,8.737088548110874,0.01795894204662729,1000,0.105,1.4807809558924034,0.011625387795740233,False,-1.8945534868571485
exact_powerlaw,1000,227,1.5103424727606996,0.26645688876955076,213.10173430007094,9.661117363687202,0.009855525284663269,1000,0.745,1.5103424727606996,0.0,False,-1.9999999999990905
exact_powerlaw,1000,228,1.5335665811491754,0.2744131698844019,218.1498650607054,10.211340047588987,0.015561804780860111,1000,0.26,1.5335665811491754,0.0,False,-2.0000000000009095
exact_powerlaw,1000,229,1.4595080434450072,0.25510143829829823,181.08769531002926,8.91179895922213,0.012301962576840686,1000,0.505,1.4517823909360503,0.002952935141490531,False,-1.9928559454292554
exact_powerlaw,1000,230,1.4739388274341803,0.2595474157335148,185.49208368932725,8.40780386392101,0.013799916400950685,1000,0.425,1.4087092123796399,0.025121883013804844,False,-1.4936133350784075
exact_powerlaw,1000,231,1.5132209970288475,0.28080285275156347,166.14174732936576,7.667073962958729,0.015281310228362988,1000,0.235,1.3794526608797402,0.05237958013365042,False,0.10012727385401377
exact_powerlaw,1000,232,1.5342352147791605,0.2829962476772069,189.02243582589765,8.723798453080178,0.008660795903326801,1000,0.86,1.4758367849951253,0.02292272876841857,False,-1.60082441351733
exact_powerlaw,1000,233,1.4658731369205977,0.2565903272425676,184.7831766494741,8.678494009520673,0.009953780944777835,1000,0.74,1.4339338811270366,0.012247749985603948,False,-1.8781898443057798
exact_powerlaw,1000,234,1.5062319035504448,0.268812486066316,198.5552367002669,9.350840014228638,0.011483542232494703,1000,0.645,1.5062319035504448,0.0,False,-2.0000000000009095
exact_powerlaw,1000,235,1.5221165389568245,0.2672622309443947,227.2762348415193,10.213682437621399,0.016777633974408457,1000,0.14,1.5221165389568245,0.0,False,-1.9999999999990905
exact_powerlaw,1000,236,1.4634251345483786,0.24649211176562769,219.92569837830047,10.502522315159995,0.016892351938832817,1000,0.28,1.4634251345483786,0.0,False,-2.0000000000009095
exact_powerlaw,1000,237,1.5210947726508888,0.2660923300492116,230.0597876486611,10.626367416514318,0.014128525456227892,1000,0.385,1.5210947726508888,0.0,False,-1.9999999999990905
exact_powerlaw,1000,238,1.4771537828092018,0.258854088617532,192.78653683067805,8.744810334091481,0.011908051299479028,1000,0.56,1.4544527938923693,0.008731957445206285,False,-1.9386147834748044
exact_powerlaw,1000,239,1.4677800789081612,0.25483244673198946,194.223794931048,9.132325243445457,0.018029070968101357,1000,0.11,1.4677800789081612,0.0,False,-1.9999999999990905
exact_powerlaw,1000,240,1.5509166819707598,0.2844768216133742,208.02151879117469,9.282558341118824,0.016977147648899016,1000,0.135,1.5509166819707598,0.0,False,-2.000000000001819
exact_powerlaw,1000,241,1.4916824940981623,0.2690353345082548,176.5403100991176,8.603879878436002,0.013484994584216481,1000,0.44,1.4556280455320674,0.013942427015706521,False,-1.845819864240184
exact_powerlaw,1000,242,1.4927685274604823,0.275031903532304,156.6360947429666,7.080503102982062,0.021579981218906086,1000,0.035,1.2887676876393446,0.07966058552528806,False,2.893691129148465
exact_powerlaw,1000,243,1.4832949258851738,0.26024420655478464,196.57257547961316,9.451592184721942,0.008432108010685724,1000,0.88,1.4832949258851738,0.0,False,-1.999999999998181
exact_powerlaw,1000,244,1.4974229953374572,0.26918409371102636,184.37585823308996,8.294871070940516,0.012544898001964455,1000,0.515,1.409492982294924,0.034163740906808744,False,-1.086420352499772
exact_powerlaw,1000,245,1.4984138971439709,0.2618601282823465,212.63506855588122,9.812495525300093,0.008999684174958444,1000,0.85,1.4984138971439709,0.0,False,-2.0
exact_powerlaw,1000,246,1.4964150280026924,0.2612959506668604,211.81323673637814,9.73031360816241,0.010795637220014753,1000,0.65,1.4964150280026924,0.0,False,-2.0
exact_powerlaw,1000,247,1.5173051057127847,0.2735667113450039,197.57611570362164,9.484106795813116,0.011808629022610817,1000,0.515,1.5173051057127847,0.0,False,-2.0
exact_powerlaw,1000,248,1.4783093147909145,0.25510143829829823,208.60954518577776,9.9692074594962,0.018392620215668787,1000,0.12,1.4783093147909145,0.0,False,-2.0000000000009095
exact_powerlaw,1000,249,1.4244924136729775,0.24146741493263518,182.5642955801766,8.863808458509862,0.005170701843260406,1000,1.0,1.4055112428994674,0.00718022987089744,False,-1.956564845223511
exact_powerlaw,10000,200,1.5018147794588028,0.2651271474501583,2055.501563628195,29.853640762162737,0.0036430452437290484,10000,0.595,1.5018147794588028,0.0,False,-1.999999999992724
exact_powerlaw,10000,201,1.5231448477140415,0.2744749243275736,2028.223834638916,29.661153806960915,0.0031234031546012453,10000,0.805,1.5231448477140415,0.0,False,-2.000000000014552
exact_powerlaw,10000,202,1.4947250745071319,0.26360216311608997,2008.1897379818433,29.801964568765516,0.0036029222361071422,10000,0.56,1.4947250745071319,0.0,False,-2.0
exact_powerlaw,10000,203,1.493155189380504,0.2622068113792734,2036.8163550680674,29.88063622540918,0.004390094022704072,10000,0.365,1.493155189380504,0.0,False,-2.0
exact_powerlaw,10000,204,1.5083039388263426,0.2726108154278353,1879.007972518493,27.544941793898992,0.004445587080843527,10000,0.35,1.4638873003989268,0.017275544641264583,False,0.32842865805287147
exact_powerlaw,10000,205,1.5131287121095216,0.2720327170578397,1969.8905119448614,28.698263137005018,0.0024779932073268895,10000,0.88,1.5096481978499376,0.0013526679380676543,False,-1.985699532473518
exact_powerlaw,10000,206,1.508346267193291,0.2696611672255085,1985.6361886443312,28.96743778768915,0.0032432119222601807,10000,0.79,1.5004933369535765,0.003048097248156027,False,-1.9271131440618774
exact_powerlaw,10000,207,1.502581780466505,0.26971344391514196,1899.8133838670942,28.243207222079707,0.0033298927039050463,10000,0.665,1.477733193096338,0.009636459720119832,False,-1.2695126448306837
exact_powerlaw,10000,208,1.511423808168539,0.267710805679627,2101.075917623021,31.018488406291347,0.00700130443186231,10000,0.05,1.511423808168539,0.0,False,-2.000000000014552
exact_powerlaw,10000,209,1.5003101399937986,0.26658105257112075,1980.4057877306755,29.243686523378322,0.004756530878270326,10000,0.275,1.5003101399937986,0.0,False,-1.999999999992724
exact_powerlaw,10000,210,1.4963266574583631,0.2625543528615156,2070.221151994392,30.74493543794964,0.005574105379484551,10000,0.105,1.4963266574583631,0.0,False,-1.9999999999708962
exact_powerlaw,10000,211,1.4999557439406157,0.2674091487241296,1945.0704179557601,28.72257233652628,0.005071120579753785,10000,0.295,1.4999557439406157,0.0,False,-1.9999999999781721
exact_powerlaw,10000,212,1.506335070018805,0.26876053815060275,1988.9358361372877,29.441791901677572,0.0029736647296826346,10000,0.865,1.506335070018805,0.0,False,-2.0
exact_powerlaw,10000,213,1.5068163313808487,0.2700349921637504,1949.8751302071335,28.328431248936194,0.0029993281723408316,10000,0.78,1.4930470095059816,0.0053437134804010895,False,-1.7758684739674209
exact_powerlaw,10000,214,1.4902937874283726,0.2667492120543068,1828.180218446464,27.643106264829058,0.005638441618230017,10000,0.145,1.458076763747845,0.012450363975858341,False,-0.7682920003426261
exact_powerlaw,10000,215,1.5253097759973375,0.27702192388477964,1969.4663640753508,28.753637326372154,0.0037139099244549167,10000,0.56,1.5052259450435546,0.007843116885301971,False,-1.5258325867544045
exact_powerlaw,10000,216,1.4984229544373644,0.26822731256609056,1893.0002662211773,28.64737979663595,0.004672903391910954,10000,0.3,1.4825071447918505,0.006161072114212329,False,-1.6998683353158413
exact_powerlaw,10000,217,1.5009325498985273,0.26601225282616514,2010.2471750715922,29.739411554884978,0.004064986485653788,10000,0.49,1.5009325498985273,0.0,False,-2.0
exact_powerlaw,10000,218,1.515643301945035,0.2708608604411701,2048.5195222528378,30.167355699303368,0.00572838293907324,10000,0.145,1.515643301945035,0.0,False,-2.000000000007276
exact_powerlaw,10000,219,1.501045949767759,0.26329485243179473,2111.6723745640197,30.788698196955167,0.006296915598517749,10000,0.085,1.501045949767759,0.0,False,-1.9999999999781721
exact_powerlaw,10000,220,1.5052674620542117,0.2682716718983612,1991.113651611733,29.037494200120925,0.002533702572640406,10000,0.945,1.5052674620542117,0.0,False,-1.999999999992724
exact_powerlaw,10000,221,1.5007105092294513,0.2661433118562896,2002.2221264496459,29.476295598277385,0.003427410905143924,10000,0.66,1.5007105092294513,0.0,False,-2.0
exact_powerlaw,10000,222,1.5057130354359973,0.2720934602226861,1859.8127271640512,27.33772410543131,0.004317627942762026,10000,0.43,1.4544614506766231,0.019925094375845116,False,1.1015702124932432
exact_powerlaw,10000,223,1.5153159182138456,0.2725879516730422,1981.8085225120783,28.851491654519755,0.003293001345410773,10000,0.705,1.5057078755624969,0.003737957797127334,False,-1.891116702085128
exact_powerlaw,10000,224,1.5093233736730571,0.26854552673847576,2040.2204549241385,30.217376325247805,0.004801475046683823,10000,0.32,1.5093233736730571,0.0,False,-1.9999999999781721
exact_powerlaw,10000,225,1.5076354191340844,0.2701773022069619,1956.6659285548242,28.71254682661826,0.0037046989430867816,10000,0.59,1.5052527295468452,0.0009243446029019992,False,-1.9932873456491507
exact_powerlaw,10000,226,1.5121887430565568,0.27160823221901,1971.443583489867,28.927179787699426,0.003426059184829522,10000,0.705,1.5024711133798911,0.0037768670784242833,False,-1.8885188241983997
exact_powerlaw,10000,227,1.4985320335967476,0.26475156677347766,2021.4360157567394,29.778596106219755,0.0028122884523555935,10000,0.835,1.4985320335967476,0.0,False,-2.0
exact_powerlaw,10000,228,1.5028412792782877,0.2648525864693858,2080.5258587932744,30.515402276781177,0.0049000469009026215,10000,0.23,1.5028412792782877,0.0,False,-2.0
exact_powerlaw,10000,229,1.5023243945772418,0.26810170277209755,1954.4163213415948,28.59491931715679,0.004000338857161223,10000,0.505,1.4817363406814374,0.007981647065053447,False,-1.4984181539330166
exact_powerlaw,10000,230,1.492313117318373,0.26506207162434037,1919.341168298122,28.320321430082338,0.003395541511923783,10000,0.655,1.4692166241867908,0.008926977459686767,False,-1.3670825364315533
exact_powerlaw,10000,231,1.5034694617905853,0.2697732121222556,1910.586186735585,27.770501186843358,0.004878110534239033,10000,0.235,1.4679961907629948,0.013768846759015617,False,-0.5122726816043723
exact_powerlaw,10000,232,1.5081490730730263,0.2704022907786615,1956.033203222734,28.92283024643125,0.0027967947475426858,10000,0.83,1.4973043951928162,0.00420977991359984,False,-1.861006232415093
exact_powerlaw,10000,233,1.4850168099557255,0.26149315458556055,1944.4478465240998,28.97435595245162,0.0024491550449203814,10000,0.9,1.4850168099557255,0.0,False,-1.999999999992724
exact_powerlaw,10000,234,1.491422992714833,0.2631949424024942,1975.0241885383136,28.845569842637914,0.0030323693400192697,10000,0.795,1.4871529533496415,0.0016482468532616828,False,-1.9783467797969934
exact_powerlaw,10000,235,1.5146633530795288,0.2718051585250775,2000.3593971536911,28.950327806101114,0.002364475627024465,10000,0.965,1.5146633530795288,0.0,False,-2.0
exact_powerlaw,10000,236,1.4909274405505446,0.26338054609058015,1960.9461990363432,29.277000755136957,0.002513030988863796,10000,0.91,1.4909274405505446,0.0,False,-1.999999999985448
exact_powerlaw,10000,237,1.5059950862455675,0.26940752354397957,1960.5757418402966,28.92495506288711,0.003572776854808779,10000,0.62,1.5059950862455675,0.0,False,-2.000000000007276
exact_powerlaw,10000,238,1.4879068447860053,0.2624762584430861,1950.2412235021818,29.017239781341424,0.00514442959619843,10000,0.195,1.4879068447860053,0.0,False,-1.9999999999781721
exact_powerlaw,10000,239,1.5010434329230318,0.26661028338527903,1990.0254466172519,29.363483798570773,0.005026272400974197,10000,0.265,1.5000196336066662,0.00039631882711367393,False,-1.99875832584803
exact_powerlaw,10000,240,1.520251679746087,0.27396623732737657,2004.323834407352,28.90446008468601,0.0024249817953073682,10000,0.92,1.520251679746087,0.0,False,-2.0
exact_powerlaw,10000,241,1.4923677905828807,0.26593949460984556,1888.0134338148691,27.80205752400993,0.005182428541503636,10000,0.18,1.477016002236322,0.005931179603661262,False,-1.7202999641667702
exact_powerlaw,10000,242,1.4927237099474393,0.26485980492724814,1932.7513753982764,28.59686191711599,0.005262513369922506,10000,0.24,1.4667571845682066,0.010039151149803364,False,-1.2001889153834782
exact_powerlaw,10000,243,1.4910006291307827,0.2624549674987491,1996.1936520137542,29.585139322305984,0.002621168438316057,10000,0.91,1.4910006291307827,0.0,False,-2.0
exact_powerlaw,10000,244,1.497065487094515,0.26703480818941194,1916.5648454279178,28.168250748380288,0.003167233267407088,10000,0.725,1.4717842536011885,0.009787312114063114,False,-1.2427175946140778
exact_powerlaw,10000,245,1.5044602139767935,0.2694447958564047,1936.8788204533944,28.704194655224892,0.00252326088413668,10000,0.925,1.4916892922202813,0.004952267330684063,False,-1.807058550984948
exact_powerlaw,10000,246,1.5021826115475765,0.26625262038558084,2019.6788517834582,29.73792037293655,0.004720765352420053,10000,0.28,1.5021826115475765,0.0,False,-2.000000000007276
exact_powerlaw,10000,247,1.5054160622482353,0.268849603307616,1972.3297116249994,29.0449595468075,0.0015879873549075052,10000,0.995,1.5054160622482353,0.0,False,-2.000000000014552
exact_powerlaw,10000,248,1.4981667466731725,0.2679171835659697,1900.5241917760372,28.022393914893417,0.005706546120832212,10000,0.135,1.484257521152106,0.005383282736172405,False,-1.7707427664790885
exact_powerlaw,10000,249,1.509486920820157,0.26868635965229304,2037.4964485094647,29.926905419669488,0.005116592723489688,10000,0.25,1.509486920820157,0.0,False,-1.999999999985448
borel_critical,1000,200,1.4870011826388012,0.26080415252918254,199.90242017920832,9.377469528411595,0.00813071158587897,1000,0.905,1.4870011826388012,0.0,False,-2.0
borel_critical,1000,201,1.517437516336825,0.2612959506668604,242.41478463246438,11.109070282198038,0.014833060757367567,1000,0.29,1.517437516336825,0.0,False,-1.9999999999990905
borel_critical,1000,202,1.4815518566896042,0.2624265845927247,185.92404262431967,8.879385388619516,0.006727141133457071,1000,0.985,1.4436933888470338,0.014594416272117659,False,-1.829563962616703
