condition,hours,seed,dt_ms,iei_ms,native_dt_ms,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n,signature_regression,signature_mle
homogeneous,0.25,100,1,54.10211706102117,54,0.017015422489320108,6.439931896645316,0.9834619858392666,13912,1.0,1.0246549741230593,3,5.622014332747307,3.7271325541808364,-19.452802282389015,-3.851527759003469,0.001907622068964443,13912,False,False
homogeneous,0.25,100,2,54.10211706102117,54,0.03361219002091425,5.5489632954394486,0.9730073987673744,13588,1.0,1.0490874300853694,3,4.758937369008757,3.0620729554311525,-64.79075574202523,-8.860161422418829,0.005460954316619304,13588,False,False
homogeneous,0.25,100,3,54.10211706102117,54,0.046933907824882666,4.847209806026849,0.9746674126969213,13300,1.0,1.0718045112781955,3,4.3113627503239424,2.703151660866041,-105.56411574663557,-11.149181305245191,0.008536505484515788,13300,False,False
homogeneous,0.25,100,4,54.10211706102117,54,0.06156168083247279,5.265620301594428,0.9490229666992265,12997,1.0,1.0967915672847581,4,3.9819870717778,2.427584564086379,-134.05857300625766,-10.941078988561644,0.01136357886185857,12997,False,False
homogeneous,0.25,100,5,54.10211706102117,54,0.07802116662564608,5.235661338669675,0.9651798156509278,12681,1.0,1.124122703256841,6,3.7166109802696727,2.203487572369422,-174.6234377360566,-11.601887796420682,0.015832357694965715,12681,False,False
homogeneous,0.25,100,6,54.10211706102117,54,0.09337731540218219,5.39458846685483,0.9482187583838292,12390,1.0,1.1505246166263114,6,3.5185102627292952,2.033846669268864,-214.78483510064746,-12.85611933507285,0.020207599834369705,12390,False,False
homogeneous,0.25,100,8,54.10211706102117,54,0.1292418772563177,4.681684989486205,0.946291865440154,11794,1.0,1.2086654230964897,6,3.1983439390978052,1.7565399509557174,-307.9004594520627,-15.278871880680736,0.03087308323716753,11794,False,False
homogeneous,0.25,100,10,54.10211706102117,54,0.15586773700305812,4.4335862144769465,0.9336476040610806,11318,1.0,1.2594981445485067,6,2.993957646592653,1.5797190701481512,-400.52157450329565,-18.49564754112572,0.04050439375442927,11318,False,False
homogeneous,0.25,100,12,54.10211706102117,54,0.18979882137776874,4.122513163270393,0.9021195005994936,10799,1.0,1.320029632373368,6,2.8100578569679318,1.4169958714228184,-481.87328891036157,-20.37325308480223,0.05124608133918407,10799,False,False
homogeneous,0.25,100,16,54.10211706102117,54,0.253024541997926,4.126426364010149,0.9034018020847221,9860,1.0,1.445740365111562,8,2.5389928908686077,1.176640191227467,-611.6719583292463,-22.76179712699487,0.07021162433232697,9860,False,False
homogeneous,0.25,100,20,54.10211706102117,54,0.3264825238905616,3.736168791202054,0.9070119641460052,8906,1.0,1.600606332809342,10,2.312456198680538,0.9801980948102242,-729.1384698356933,-25.098756578554273,0.08970566671260616,8906,False,False
