hours,condition,policy,n,sigma_single_mean,sigma_single_sd,sigma_single_min,sigma_single_max,tau_regression_mean,tau_regression_sd,tau_regression_min,tau_regression_max,tau_mle_mean,tau_mle_sd,tau_mle_min,tau_mle_max,ks_mean,ks_sd,ks_min,ks_max,aic_powerlaw_minus_lognormal_mean,aic_powerlaw_minus_lognormal_sd,aic_powerlaw_minus_lognormal_min,aic_powerlaw_minus_lognormal_max,signature_regression_hits,signature_regression_fraction,signature_regression_ci_low,signature_regression_ci_high,signature_mle_hits,signature_mle_fraction,signature_mle_ci_low,signature_mle_ci_high,mle_and_gof_hits,mle_and_gof_fraction,mle_and_gof_ci_low,mle_and_gof_ci_high,gof_reject_hits,gof_reject_fraction,gof_reject_ci_low,gof_reject_ci_high
0.25,capped,fixed_10,20,1.480786009478459,0.06008320960875381,1.343342036553525,1.5649263721552875,1.5259032356878905,0.07031261766636276,1.4377399696211657,1.683685234967841,1.4623181019560516,0.02723221349704262,1.4196873145878488,1.520361483704237,0.013666808853609297,0.0056503707441636465,0.006262885656688,0.0275190630659103,-1.0819692572518762,1.9153785908996412,-2.000000000000909,5.684736653103755,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,2,0.1,0.02786648096169142,0.3010336471864123
0.25,capped,iei_rounded,20,0.36948580568688805,0.014608244467812647,0.3418116912092815,0.397841726618705,2.14512238769398,0.07041346404671751,1.982797554200303,2.281219129828148,1.9798891709420698,0.028727795766698143,1.938729155075405,2.0473428141109142,0.021167614400929746,0.002996786473853393,0.0128754321969958,0.0254873488882019,31.84397464891763,11.025926270715194,5.768174755352447,54.85840188085422,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,capped,selected_mle,20,0.9770755099177055,0.016971001295786447,0.9336384439359268,1.0031720856463124,1.5435775051471594,0.07088223014239187,1.4255729172449951,1.6844335250215272,1.4844833753853195,0.020075898596774968,1.4580827436091308,1.520361483704237,0.013269783693646056,0.005739785601935121,0.0049196360197586,0.0274565856660063,-1.24512154139602,1.820437997285417,-2.000000000001819,5.290346442502596,20,1.0,0.8388748398148705,1.0000000000000002,20,1.0,0.8388748398148705,1.0000000000000002,17,0.85,0.6395811333571357,0.9476312545132735,3,0.15,0.05236874548672649,0.36041886664286427
0.25,capped,selected_regression,20,0.9931048187777707,0.03541705591696544,0.879472693032015,1.03299293008641,1.5254622921664838,0.06049503708465483,1.4377399696211657,1.683685234967841,1.4695988948785943,0.030886154568912434,1.4196873145878488,1.5553544480442143,0.013501885101835143,0.005533915408878703,0.006262885656688,0.0275190630659103,-1.180488373622802,1.9101649964377343,-2.000000000000909,5.684736653103755,20,1.0,0.8388748398148705,1.0000000000000002,20,1.0,0.8388748398148705,1.0000000000000002,18,0.9,0.6989663528135878,0.9721335190383086,2,0.1,0.02786648096169142,0.3010336471864123
0.25,homogeneous,fixed_10,20,0.1595028928156899,0.004015937563265547,0.1531395018467657,0.1668256390690576,4.485268550152948,0.23990752493061857,4.047000229505589,4.952184391805274,2.9677295035334805,0.02167590952201298,2.921919940760484,3.0017703645333587,0.04151745786774345,0.0016415535189805513,0.0385052293140214,0.0443520539012447,806.3827889076895,48.44075919833253,721.0376219120699,900.7755988121772,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,homogeneous,iei_rounded,20,0.8603387667082887,0.018439350776495805,0.8306574923547401,0.9109863672814756,2.5186568592548926,0.059801876978643656,2.3649950037260554,2.666281067683373,1.399501085479076,0.00979310765062306,1.374310190239461,1.4153626782470656,0.14001697830928636,0.005521839031536006,0.1233717508506148,0.1470840321963809,1285.8854564054946,72.41647270858373,1113.885517191251,1411.4861800556937,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,homogeneous,selected_mle,20,0.8603387667082887,0.018439350776495805,0.8306574923547401,0.9109863672814756,2.5186568592548926,0.059801876978643656,2.3649950037260554,2.666281067683373,1.399501085479076,0.00979310765062306,1.374310190239461,1.4153626782470656,0.14001697830928636,0.005521839031536006,0.1233717508506148,0.1470840321963809,1285.8854564054946,72.41647270858373,1113.885517191251,1411.4861800556937,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,homogeneous,selected_regression,20,1.3208592533117947,0.25519566291417584,0.9989029072956664,1.6021840873634945,1.5173040739519967,0.4967643434239495,1.0429864192866074,2.2177993757839927,0.9344585567312762,0.23852633916444013,0.7197001079353615,1.2292587714254584,0.11267983627038192,0.01657158556334627,0.079434880652879,0.1351996111607495,535.4804278335686,365.7208224298858,179.13408837146926,1014.7388506045407,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,mixed,fixed_10,20,0.986443150397388,0.055875369391887364,0.8962585034013606,1.0797227036395147,1.545437686537435,0.05563563202669184,1.4593845938674417,1.6342700016333334,1.2652717405512957,0.028061053292430086,1.1952241066636926,1.2959239580333186,0.0641719480829847,0.007570734477926859,0.0514154080631055,0.078530621053194,46.91063682882755,10.13356228679136,29.64679523950053,64.84490858935078,13,0.65,0.4328542750684442,0.818808176876017,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,mixed,iei_rounded,20,0.628514224984124,0.02959289625777819,0.586856851757514,0.6979236436704621,1.996773397515716,0.09505425387448606,1.8403869067553305,2.219797357746032,1.5745464845592685,0.0336827289680641,1.491720772980342,1.6187180454175358,0.06631360348921736,0.005726785019720117,0.0553001506409082,0.0741978206387365,140.02716473069103,31.148570014244335,73.15287677701417,201.14818639489025,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,mixed,selected_mle,20,0.8952551741472249,0.060233462526501066,0.8020050125313283,1.0218408736349454,1.6315213498124013,0.07912190695643458,1.476298520200476,1.7585549718050577,1.3273291391742235,0.03839502109863109,1.274797981632835,1.3880980575902324,0.0650053641097339,0.0075750623869787585,0.053242562008509,0.0801940883056767,60.094601998321785,16.37829220052804,29.977454740932444,91.39079975138702,13,0.65,0.4328542750684442,0.818808176876017,10,0.5,0.2992980068701797,0.7007019931298203,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,mixed,selected_regression,20,0.999333089250721,0.051386512836602644,0.8962585034013606,1.0797227036395147,1.5166296444796359,0.06337443080291467,1.366214949615114,1.6210934218182882,1.2543319743319838,0.028472326964790476,1.1952241066636926,1.2910174511640538,0.06261314981748842,0.008486656372025732,0.0443104363803384,0.0772353862926718,42.624864047393885,12.848449912888176,18.07595068075261,62.51793617525982,13,0.65,0.4328542750684442,0.818808176876017,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,refractory_0.8,fixed_10,20,0.9347383406769977,0.0351186171898514,0.8659644024700327,0.986417033773862,1.9801860994353262,0.05509384876291919,1.8566702624330325,2.0765148000988884,1.595534573656416,0.016632940036325483,1.574721286731295,1.6279124250689687,0.023268261759127173,0.003553696792785228,0.0175562983755359,0.0316358506208938,47.44829857073701,12.751380829009603,33.48166066587328,85.62704234345983,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,refractory_0.8,iei_rounded,20,0.8410001202418123,0.09176967577496369,0.6592689295039165,0.9826418289585096,1.9801860994353262,0.05509384876291919,1.8566702624330325,2.0765148000988884,1.595534573656416,0.016632940036325483,1.574721286731295,1.6279124250689687,0.023268261759127173,0.003553696792785228,0.0175562983755359,0.0316358506208938,47.44829857073701,12.751380829009603,33.48166066587328,85.62704234345983,0,0.0,0.0,0.16112516018512965,15,0.75,0.5312991206074114,0.8881382993000237,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,refractory_0.8,selected_mle,20,0.9659041690021111,0.030961868103446144,0.9119971264367815,1.016789516789517,1.9801860994353262,0.05509384876291919,1.8566702624330325,2.0765148000988884,1.595534573656416,0.016632940036325483,1.574721286731295,1.6279124250689687,0.023268261759127173,0.003553696792785228,0.0175562983755359,0.0316358506208938,47.44829857073701,12.751380829009603,33.48166066587328,85.62704234345983,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,refractory_0.8,selected_regression,20,1.1298057958184051,0.13097143171462772,0.9145496535796768,1.3811379579111458,1.7474828978906651,0.1045804243196669,1.6410645162613058,2.0765148000988884,1.3119849178685417,0.11043062707661942,1.2128025656405494,1.6279124250689687,0.06748996426229817,0.016765590522302132,0.0221061636476564,0.0926401163433115,183.32423710219828,57.008395991728314,44.62169535870635,285.2171652052275,0,0.0,0.0,0.16112516018512965,6,0.3,0.14547724402157294,0.518972820052479,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,refractory_1.0,fixed_10,20,1.4677511381100568,0.06138227766069038,1.3144560357675112,1.5459418070444104,1.3366221017245818,0.03797948757355473,1.2508172711757526,1.382421761921092,1.3401410869313721,0.018234139344674088,1.3082502508572151,1.3682301902799257,0.012272665289300455,0.005411514327103504,0.0047835115298335,0.0265486955519584,-1.9537469883617633,0.16671686133603777,-2.000000000001819,-1.2695726871224906,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,4,0.2,0.08065766201776073,0.41601743409331715
0.25,refractory_1.0,iei_rounded,20,0.0,0.0,0.0,0.0,3.3450337681043356,0.18867572422116025,3.0361906818400795,3.623641415486544,2.1284650814959014,0.020725939551657538,2.090288781007649,2.1713241743379204,0.07512175360520561,0.002764367095249617,0.070149088546384,0.0792518253897277,994.6962987235065,51.57984208376268,918.7791927961372,1092.2787158606225,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,0,0.0,0.0,0.16112516018512965,20,1.0,0.8388748398148705,1.0000000000000002
0.25,refractory_1.0,selected_mle,20,0.9837217306246892,0.021440216164320753,0.9588235294117649,1.0371501272264632,1.3366221017245818,0.03797948757355473,1.2508172711757526,1.382421761921092,1.3401410869313721,0.018234139344674088,1.3082502508572151,1.3682301902799257,0.012272665289300455,0.005411514327103504,0.0047835115298335,0.0265486955519584,-1.9537469883617633,0.16671686133603777,-2.000000000001819,-1.2695726871224906,17,0.85,0.6395811333571357,0.9476312545132735,20,1.0,0.8388748398148705,1.0000000000000002,15,0.75,0.5312991206074114,0.8881382993000237,5,0.25,0.11186170069997625,0.46870087939258864
0.25,refractory_1.0,selected_regression,20,0.9837217306246892,0.021440216164320753,0.9588235294117649,1.0371501272264632,1.3366221017245818,0.03797948757355473,1.2508172711757526,1.382421761921092,1.3401410869313721,0.018234139344674088,1.3082502508572151,1.3682301902799257,0.012272665289300455,0.005411514327103504,0.0047835115298335,0.0265486955519584,-1.9537469883617633,0.16671686133603777,-2.000000000001819,-1.2695726871224906,17,0.85,0.6395811333571357,0.9476312545132735,20,1.0,0.8388748398148705,1.0000000000000002,15,0.75,0.5312991206074114,0.8881382993000237,5,0.25,0.11186170069997625,0.46870087939258864
