condition,hours,seed,policy,dt_ms,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n
mixed,70.0,42,iei_float,4.48140887423207,0.6346291056710542,1.96334233200292,0.9845592589117487,720088,0.9801371499039007,4.816648798480186,396,1.5645332228706312,0.34071063321589945,35408.61032677794,62.40845044605999,0.0687110219509019,705785
mixed,70.0,42,iei_100,4.0,0.6047612720665335,2.023991593009114,0.9855785982387614,798223,0.9840996814173483,4.3451654487530424,396,1.6109615573806284,0.3635530354821447,41180.9746345834,67.47439774068887,0.06784872242489909,785531
mixed,70.0,42,iei_400,5.0,0.6768482208376763,1.9013127120143134,0.9843811419733707,641762,0.9746806448496483,5.404512887955348,396,1.5217169275362696,0.320583335156604,30243.810235475692,57.534374814240465,0.06868976677032046,625513
mixed,70.0,100,iei_float,4.477580972305305,0.6329101730625764,1.9538626035963564,0.9852069351526561,721201,0.9800443981636188,4.810618676346816,379,1.5631482771933367,0.33944554653056336,36646.75928240882,64.4052735098729,0.06773466981908322,706809
mixed,70.0,100,iei_100,4.0,0.6066830330826851,2.0123515848647324,0.9860484884737215,797925,0.9840172948585393,4.348056521602907,379,1.6079133263031569,0.3612786944809052,42630.175179368125,69.81425923444154,0.06714496652338442,785172
mixed,70.0,100,iei_400,5.0,0.6749535778428741,1.8884854924836925,0.985397170775524,641185,0.9744987796033906,5.4109547166574385,379,1.5205612267467021,0.3192385572351021,31750.436287036693,60.23557210843531,0.06782818870118823,624834
mixed,70.0,101,iei_float,4.467182074312813,0.6393553435286503,1.9610139895121084,0.9845560608982101,722012,0.9798341301806618,4.821275823670521,394,1.5606514297489742,0.339479755830167,34069.194570952524,60.046858024034336,0.06958362469809803,707452
mixed,70.0,101,iei_100,4.0,0.6094858857907843,2.0185484699976413,0.9854004381701318,798385,0.9839263012205891,4.360075652723936,394,1.605289239431345,0.36097522799113213,40375.81913144523,66.32970162178304,0.06824248796589977,785552
mixed,70.0,101,iei_400,5.0,0.6824475358810712,1.8963957767812376,0.9842027876984513,640560,0.9743568127888098,5.434337142500312,394,1.5156341415487393,0.31828325117044476,29090.360708497905,55.56923994638793,0.06932715742161538,624134
mixed,70.0,102,iei_float,4.479703744046152,0.6388833070188029,1.9556243959381234,0.9851038921192733,721584,0.9803363156611011,4.807030089358966,370,1.5599497583492319,0.3389378085379644,34467.21470729515,60.61664799971362,0.06900728807930823,707395
mixed,70.0,102,iei_100,4.0,0.609460712770776,2.0268003408757553,0.9848699343069145,798674,0.9840660895434182,4.343043594758312,356,1.6062205181482145,0.36178081869112666,39706.49149759738,65.38184105755214,0.06823471787224544,785948
mixed,70.0,102,iei_400,5.0,0.6810142491025434,1.8907596946337977,0.9845295157479034,641964,0.9749098080266183,5.403225102965275,370,1.5155384809885835,0.3177939854944468,30032.091800918217,57.193191497712355,0.06890293663448505,625857
mixed,70.0,103,iei_float,4.491224459569821,0.6356651084072069,1.9536584277749047,0.9851236048176055,719525,0.9800409992703519,4.8087154720127865,403,1.5612766582678876,0.33892556335467694,35729.86148191929,62.91247447342752,0.06826135913599629,705164
mixed,70.0,103,iei_100,4.0,0.6081058049561987,2.021728045384663,0.9853880357833819,799292,0.984241053332199,4.328819755483603,403,1.6078729518627082,0.36216925237342346,40756.41313240083,66.82909576728524,0.06778181499406144,786696
mixed,70.0,103,iei_400,5.0,0.6799053511220849,1.8956758754266627,0.9843816065330825,641569,0.9747026430516437,5.393014625083194,361,1.518379245600224,0.31901518470815493,30225.702738140964,57.54205977292138,0.06839238010089038,625339
mixed,70.0,104,iei_float,4.486590446140722,0.6346262071911829,1.9597907144269437,0.985274031621439,719548,0.9799804877506435,4.809816718273138,371,1.564862395910085,0.3410035973679574,35112.06626626422,61.718410284998384,0.06893161938850262,705143
mixed,70.0,104,iei_100,4.0,0.6049754621945349,2.0266171793851275,0.9854287881735616,797829,0.9837885060583158,4.337889447488121,359,1.6117614099646023,0.3639600605206059,41170.79591392344,67.52530075975301,0.06760879585698687,784895
mixed,70.0,104,iei_400,5.0,0.6751436216995078,1.898086457907969,0.9847314012144145,641097,0.9745124372754825,5.398393690814339,371,1.5215393274917606,0.32030928786146273,30572.631320184675,58.14613748783603,0.06861878102289204,624757
