condition,hours,seed,iei_ms,dropped_events,events,span_ms,realized_rate_per_hour,detected_fraction_over_20ms,detected_max_duration_ms,nominal_offspring,actual_offspring,attempted_offspring,generation_limit_hits,generated_cascades,max_generated_duration_ms,generated_fraction_over_20ms,clipped_events
capped,0.25,100,1.2615512173060979,0.0,14557,900000,58228.0,0.2496124031007752,100.0,,,,,,,,
capped,0.25,101,1.2754558415247244,0.0,14510,901180,57964.002751947446,0.27557058326289097,108.0,,,,,,,,
capped,0.25,102,1.3048301886792453,0.0,14511,900720,57997.601918465225,0.2616970658207772,108.0,,,,,,,,
capped,0.25,103,1.3013626439810284,0.0,14515,900000,58060.0,0.27435064935064934,108.0,,,,,,,,
capped,0.25,104,1.22507677327541,0.0,14551,900000,58204.0,0.2658333333333333,96.0,,,,,,,,
capped,0.25,105,1.278061224489796,0.0,14545,900000,58180.0,0.2752670501232539,88.0,,,,,,,,
capped,0.25,106,1.2936035560913133,0.0,14520,900000,58080.0,0.2734562951082598,100.0,,,,,,,,
capped,0.25,107,1.2918264531167758,0.0,14554,903001,58022.52710683599,0.2685258964143426,96.0,,,,,,,,
capped,0.25,108,1.3264841913715975,0.0,14529,901232,58036.55440552488,0.25970149253731345,104.0,,,,,,,,
capped,0.25,109,1.2746261928018634,0.0,14512,900000,58048.0,0.2709891936824605,116.0,,,,,,,,
capped,0.25,110,1.282333558001947,0.0,14525,900000,58100.0,0.2858361774744027,112.0,,,,,,,,
capped,0.25,111,1.2619029766814127,0.0,14533,900000,58132.0,0.26505016722408026,96.0,,,,,,,,
capped,0.25,112,1.288828543411028,0.0,14510,902656,57869.221497447536,0.266560255387071,96.0,,,,,,,,
capped,0.25,113,1.322536908707442,0.0,14517,900000,58068.0,0.28041901692183724,100.0,,,,,,,,
capped,0.25,114,1.3192857683286676,0.0,14528,900286,58093.53916422115,0.2517162471395881,104.0,,,,,,,,
capped,0.25,115,1.28306299509619,0.0,14510,900052,58036.64677151987,0.26693227091633465,100.0,,,,,,,,
