condition,hours,seed,dt_ms,iei_ms,native_dt_ms,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n,signature_regression,signature_mle
mixed,70.0,102,1,4.479703744046152,4,0.27627479388092174,3.3112959412752594,0.9865177842469307,2064213,0.9998241460546949,1.680386665523374,90,2.344145183638142,0.9099000210588064,31887.534214703515,36.64583150467405,0.047924894774426074,2063850,False,False
mixed,70.0,102,2,4.479703744046152,4,0.424725137204688,2.5036797003919875,0.9883053302555181,1405557,0.9972580265332534,2.4678301911626495,349,1.9292955025354939,0.5618358970195558,63492.60455375662,73.9206197336466,0.06135662565802513,1401703,False,False
mixed,70.0,102,3,4.479703744046152,4,0.5264718719465802,2.1982177694962495,0.9867321508389184,1032525,0.9918210212827776,3.359411152272342,349,1.7308415538160933,0.42997565288295303,54413.45884274457,75.48714306915947,0.06588687082236588,1024080,False,False
mixed,70.0,102,4,4.479703744046152,4,0.609460712770776,2.0268003408757553,0.9848699343069145,798674,0.9840660895434182,4.343043594758312,356,1.6062205181482145,0.36178081869112666,39706.49149759738,65.38184105755214,0.06823471787224544,785948,False,False
mixed,70.0,102,5,4.479703744046152,4,0.6810142491025434,1.8907596946337977,0.9845295157479034,641964,0.9749098080266183,5.403225102965275,370,1.5155384809885835,0.3177939854944468,30032.091800918217,57.193191497712355,0.06890293663448505,625857,False,False
mixed,70.0,102,6,4.479703744046152,4,0.7466264120622016,1.7939336375740431,0.9835409076894345,530290,0.9634935601274774,6.541092609704124,370,1.4451725954326182,0.28738648527742827,22482.073583486104,49.00172498054182,0.06891464564850536,510931,False,False
mixed,70.0,102,8,4.479703744046152,4,0.8689669022785518,1.6421943293608785,0.9821999140715836,387067,0.9351533455448282,8.961435617089547,370,1.3415211776115097,0.2465709811884071,14713.065599559943,40.36411103754178,0.06700918211795959,361967,True,True
mixed,70.0,102,10,4.479703744046152,4,0.9835984930290596,1.518105955896044,0.9834489110083141,302365,0.900362145089544,11.47181717460685,373,1.263696891024205,0.21901139963730043,10852.84494322106,35.959656670564286,0.06415865313186941,272238,True,False
mixed,70.0,102,12,4.479703744046152,4,1.1144170276302385,1.384228483127634,0.9858737945191851,248306,0.8633299235620565,13.969360385975369,373,1.193338264927549,0.1947878160539641,10059.20421160703,39.12689428358802,0.058674862109159176,214370,True,False
mixed,70.0,102,16,4.479703744046152,4,1.4102271524191556,1.102519264881758,0.9832193344341124,186446,0.7978342254593823,18.604185662336548,373,1.0432148334489124,0.1482097060575751,10636.21982587945,56.580897718678486,0.041149452450207846,148753,False,False
mixed,70.0,102,20,4.479703744046152,4,1.735576536438647,0.878166365992825,0.9763251545426481,154755,0.7488223320732771,22.41398339310523,442,0.8858563000272657,0.11097379486001199,8775.36842193789,64.39760202609591,0.02406820658565978,115884,False,False
mixed,70.0,102,24,4.479703744046152,4,2.1063614057145177,0.7107898444873427,0.9721609065213437,136914,0.7133675153746147,25.33470645806857,442,0.7404360061472399,0.08421873210713365,6136.31399528533,60.040465528173684,0.019482434766575296,97670,False,False
mixed,70.0,102,32,4.479703744046152,4,2.8360223712336388,0.4855992656122514,0.9613039689134524,119097,0.6690008984273323,29.124797434024366,442,0.50154343094726,0.05162076728131408,2083.888662409812,34.60864202362499,0.01876137501517694,79676,False,False
mixed,70.0,102,48,4.479703744046152,4,4.353282553500182,0.24626561417645074,0.7103050018774911,107285,0.6318590669711516,32.331416321014125,442,0.2258206034871808,0.025848650155462047,-265.6962952165017,-11.41848139145311,0.0339860763176566,67789,False,False
mixed,70.0,102,64,4.479703744046152,4,5.7582592706098685,0.12966258382184637,0.25691148207396275,103521,0.618193410032747,33.506979260246716,442,0.11109528304744565,0.018100189724013692,-481.76278476534077,-25.595588805255534,0.05213094686286379,63996,False,False
mixed,70.0,102,96,4.479703744046152,4,8.328153234550054,0.04389640956481707,0.024165280159222258,100240,0.6056664006384677,34.6037110933759,442,0.05091649954379385,0.014362261025826682,-409.9548684542268,-20.50014767258761,0.06044521422732152,60712,False,False
mixed,70.0,102,128,4.479703744046152,4,10.67753667111165,0.020760585017948786,0.00503014394079504,97958,0.5967149186386003,35.40982870209682,442,0.037971762482728266,0.013357901967667112,-358.88403385980064,-18.183743973108726,0.061268689082802585,58453,False,False
mixed,70.0,103,1,4.491224459569821,4,0.27573054385855184,3.3295420047742357,0.9858330549522005,2062933,0.99984051832997,1.6772192795403438,109,2.3467595741196643,0.9121642784777657,31811.995502586404,36.802712258050455,0.04773906573402342,2062604,False,False
mixed,70.0,103,2,4.491224459569821,4,0.42282079856486643,2.5042928010878054,0.9882939818544408,1405491,0.9972287264735242,2.461766742014001,343,1.9320039759386898,0.563212256895361,64723.02137500333,75.25254362836286,0.06102947197201114,1401596,False,False
