condition,hours,seed,policy,dt_ms,iei_ms,fit_min,fit_max,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n,ks_iid_p,lognormal_a,lognormal_b,lognormal_bound_hit,aic_powerlaw_minus_lognormal,signature_regression,signature_mle
homogeneous,0.25,100,iei_rounded,54.0,54.10211706102117,1,30,0.8440988835725678,2.504686626825956,0.8735462915219653,4048,1.0,3.52149209486166,26,1.4028667840132503,0.333883145999897,-670.6039531831648,-24.178572113321117,0.14661312000874865,4048,0.005,-0.4420150712037874,0.7627441129732271,False,1324.5795341046723,False,False
homogeneous,0.25,100,iei_rounded,54.0,54.10211706102117,1,15,0.8440988835725678,1.8694313746778213,0.8564016676637228,4048,0.9925889328063241,3.52149209486166,26,1.1843032658734085,0.3353500048850746,-351.10383302158607,-16.782867121581997,0.10307309895838068,4018,0.005,-0.3419306571706933,0.7048212650008958,False,704.7067805447841,False,False
homogeneous,0.25,100,iei_rounded,54.0,54.10211706102117,1,59,0.8440988835725678,2.504686626825956,0.8735462915219653,4048,1.0,3.52149209486166,26,1.5213005104614528,0.33403394460363733,-869.7221062055256,-28.735947248927623,0.1743671018488716,4048,0.005,-0.46740879405683333,0.7764642233460595,False,1714.8112359540391,False,False
homogeneous,0.25,100,iei_rounded,54.0,54.10211706102117,3,30,0.8440988835725678,3.2918877686761565,0.9436201237727234,4048,0.5160573122529645,3.52149209486166,26,2.366562941299053,0.34188906135079666,-116.82365561114216,-8.467458441225435,0.08628316396534569,2089,0.005,-1.9829963585258266,1.1843611882426825,False,227.58567573603978,False,False
homogeneous,0.25,100,fixed_10,10.0,54.10211706102117,1,30,0.15586773700305812,4.4335862144769465,0.9336476040610806,11318,1.0,1.2594981445485067,6,2.993957646592653,1.5797190701481512,-400.52157450329565,-18.49564754112572,0.04050439375442927,11318,0.005,0.9313291581319451,1.8454273184728285,False,794.3012904800435,False,False
homogeneous,0.25,100,fixed_10,10.0,54.10211706102117,1,15,0.15586773700305812,4.4335862144769465,0.9336476040610806,11318,1.0,1.2594981445485067,6,2.970559556374015,1.5797190677995414,-385.24437848332445,-18.193387465590668,0.03843581702046095,11318,0.005,0.9313646534813961,1.845386674782187,False,763.7488391309671,False,False
homogeneous,0.25,100,fixed_10,10.0,54.10211706102117,1,59,0.15586773700305812,4.4335862144769465,0.9336476040610806,11318,1.0,1.2594981445485067,6,3.000898820513113,1.5797190701481512,-404.2860045605555,-18.54415290524438,0.041175476858548055,11318,0.005,0.9313290374221718,1.8454274433635955,False,801.8301498338042,False,False
homogeneous,0.25,100,fixed_10,10.0,54.10211706102117,3,30,0.15586773700305812,7.033213017652462,0.99401692986863,11318,0.04117335218236438,1.2594981445485067,6,6.591974600627784,1.6934288594984954,-3.8199510801050636,-2.0716464577073532,0.018769028837683277,466,0.015,-5.10332305487499,4.3669682680643565,False,5.7015504257561815,False,False
homogeneous,0.25,100,selected_regression,64.0,54.10211706102117,1,30,1.0170049369171694,2.017282786796177,0.8678605734915876,3214,0.9993777224642191,4.43528313627878,34,1.2278885602369467,0.25572155933099205,-511.4462154801952,-20.850231786846983,0.13519961116074955,3212,0.005,-0.5391525920764632,0.667074452386775,False,1002.8122245576251,False,False
homogeneous,0.25,100,selected_mle,54.0,54.10211706102117,1,30,0.8440988835725678,2.504686626825956,0.8735462915219653,4048,1.0,3.52149209486166,26,1.4028667840132503,0.333883145999897,-670.6039531831648,-24.178572113321117,0.14661312000874865,4048,0.005,-0.4420150712037874,0.7627441129732271,False,1324.5795341046723,False,False
homogeneous,0.25,101,iei_rounded,53.0,53.28907694495804,1,30,0.8415384615384616,2.666281067683373,0.8655083173551227,4159,1.0,3.519355614330368,27,1.4057219452019627,0.33412480265721634,-674.5078158388345,-23.876523538849863,0.1373599086512053,4159,0.005,-0.38481203880929027,0.7391605679264831,False,1294.2468616394654,False,False
homogeneous,0.25,101,iei_rounded,53.0,53.28907694495804,1,15,0.8415384615384616,1.889859818950199,0.8354732007833493,4159,0.9942293820629959,3.519355614330368,27,1.1843602160027178,0.33295329487526915,-336.74705510286816,-15.882037107265122,0.0930819044474332,4135,0.005,-0.2524949556388508,0.6619201564030666,False,648.3262417294318,False,False
homogeneous,0.25,101,iei_rounded,53.0,53.28907694495804,1,59,0.8415384615384616,2.666281067683373,0.8655083173551227,4159,1.0,3.519355614330368,27,1.5237061952944213,0.3342747304085141,-877.6182124297452,-28.316436583134386,0.16500089966012915,4159,0.005,-0.41260865181840745,0.7541543955577066,False,1691.168649077168,False,False
homogeneous,0.25,101,iei_rounded,53.0,53.28907694495804,3,30,0.8415384615384616,3.480551753217858,0.9296464001621099,4159,0.5203173839865353,3.519355614330368,27,2.3639896420583053,0.34336965152501164,-134.2206115163744,-9.487708389537651,0.08749957338228254,2164,0.005,-2.2726696047257633,1.265182418427851,False,261.9788796678222,False,False
homogeneous,0.25,101,fixed_10,10.0,53.28907694495804,1,30,0.16682563906905762,4.047000229505589,0.9433523894704334,11409,1.0,1.2829345253747042,6,2.9219199407604837,1.5116898190941161,-414.8736801096261,-17.72897252654984,0.043509053916722884,11409,0.005,0.9569513187425912,1.701249224643867,False,826.070409967162,False,False
homogeneous,0.25,101,fixed_10,10.0,53.28907694495804,1,15,0.16682563906905762,4.047000229505589,0.9433523894704334,11409,1.0,1.2829345253747042,6,2.8955168745574316,1.511689813227024,-395.90219174800717,-17.30468734651086,0.04104615829512648,11409,0.005,0.9570363598161002,1.7011540887260215,False,788.1331697614514,False,False
homogeneous,0.25,101,fixed_10,10.0,53.28907694495804,1,59,0.16682563906905762,4.047000229505589,0.9433523894704334,11409,1.0,1.2829345253747042,6,2.9300681132974216,1.5116898190941161,-419.74989806514213,-17.810202318109592,0.04434112593990869,11409,0.005,0.9569511446325638,1.701249407796194,False,835.8228418485305,False,False
homogeneous,0.25,101,fixed_10,10.0,53.28907694495804,3,30,0.16682563906905762,6.121178109279114,0.9871335912777159,11409,0.04619160312034359,1.2829345253747042,6,5.755293796553369,1.4290422108333618,-9.241844689223367,-4.095826308593911,0.03681612060328632,527,0.005,-8.893019126084473,5.3849865185992885,False,19.20361386959712,False,False
homogeneous,0.25,101,selected_regression,64.0,53.28907694495804,1,30,1.0067340067340067,2.1055027481228707,0.8602852499730499,3223,1.0,4.541421036301583,30,1.2076915769047591,0.2476077489906126,-505.5896520896116,-20.33347773058617,0.13105943496625727,3223,0.005,-0.5448211162530087,0.6549493277376343,False,991.5830227756105,False,False
homogeneous,0.25,101,selected_mle,53.0,53.28907694495804,1,30,0.8415384615384616,2.666281067683373,0.8655083173551227,4159,1.0,3.519355614330368,27,1.4057219452019627,0.33412480265721634,-674.5078158388345,-23.876523538849863,0.1373599086512053,4159,0.005,-0.38481203880929027,0.7391605679264831,False,1294.2468616394654,False,False
homogeneous,0.25,102,iei_rounded,54.0,53.936409155937056,1,30,0.8666666666666667,2.476074480695871,0.8758633045208843,4055,1.0,3.5856966707768185,27,1.3880376127594456,0.32677907502721604,-674.1443675320355,-24.602593027301165,0.13921841618055703,4055,0.005,-0.4243684077984433,0.7422976779682825,False,1294.109634059896,False,False
homogeneous,0.25,102,iei_rounded,54.0,53.936409155937056,1,15,0.8666666666666667,1.8381063279039687,0.8481691400345366,4055,0.9933415536374846,3.5856966707768185,27,1.162936718629643,0.32538649379987095,-333.8009691097544,-16.237035486311537,0.09427281717936353,4028,0.005,-0.29062595919652184,0.6652399901655949,False,644.6811197812967,False,False
homogeneous,0.25,102,iei_rounded,54.0,53.936409155937056,1,59,0.8666666666666667,2.476074480695871,0.8758633045208843,4055,1.0,3.5856966707768185,27,1.5088266553066791,0.3269577810866411,-881.1391836321924,-29.16449047217741,0.16756133373327003,4055,0.005,-0.45351978383879277,0.7578704515588947,False,1698.4745185253087,False,False
homogeneous,0.25,102,iei_rounded,54.0,53.936409155937056,3,30,0.8666666666666667,3.2749488626016046,0.9498299276785962,4055,0.5292231812577065,3.5856966707768185,27,2.3361963834647614,0.3373938162379927,-139.0382121048009,-10.038453739636665,0.08177142587682351,2146,0.005,-2.3376449491544236,1.2712468857868582,False,268.0627708944521,False,False
homogeneous,0.25,102,fixed_10,10.0,53.936409155937056,1,30,0.16237774190485235,4.291782916783963,0.9240612874229766,11412,1.0,1.2740974412898702,7,2.9512926592915374,1.5365096494223165,-392.45851540316,-16.1059533329423,0.042052824365962804,11412,0.005,0.9924043785931792,1.7109616233220724,False,790.79721072352,False,False
homogeneous,0.25,102,fixed_10,10.0,53.936409155937056,1,15,0.16237774190485235,4.291782916783963,0.9240612874229766,11412,1.0,1.2740974412898702,7,2.9261541479092212,1.5365096452197058,-375.02848289536695,-15.674608472358981,0.039758524453944455,11412,0.005,0.9924797083518696,1.710876842021633,False,755.9419780917378,False,False
homogeneous,0.25,102,fixed_10,10.0,53.936409155937056,1,59,0.16237774190485235,4.291782916783963,0.9240612874229766,11412,1.0,1.2740974412898702,7,2.958927559539097,1.5365096494223165,-396.86250591675173,-16.194139853911764,0.042815318358874976,11412,0.005,0.9924042342879666,1.7109617769805445,False,799.6051885660218,False,False
