condition,seed,control,jitter_ms,dt_ms,original_native,control_native,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n
homogeneous,101,none,0,10,53,53,0.16682563906905762,4.047000229505589,0.9433523894704334,11409,1.0,1.2829345253747042,6,2.9219199407604837,1.5116898190941161,-414.8736801096261,-17.72897252654984,0.043509053916722884,11409
homogeneous,101,none,0,53,53,53,0.8415384615384616,2.666281067683373,0.8655083173551227,4159,1.0,3.519355614330368,27,1.4057219452019627,0.33412480265721634,-674.5078158388345,-23.876523538849863,0.1373599086512053,4159
homogeneous,101,shuffle,0,10,53,54,0.16748908711330424,4.579308788173084,0.932983702897648,11443,1.0,1.2791226077077689,7,2.9290935860039955,1.5222785197089945,-438.7113662604018,-18.776473776659916,0.04449863930204778,11443
homogeneous,101,shuffle,0,53,53,54,0.8719604863221885,2.508383578983919,0.8525537992103582,4188,1.0,3.4949856733524354,22,1.4100185121774853,0.3369060241597617,-687.0081957582354,-25.089852233439764,0.14236098347444975,4188
homogeneous,101,shuffle,0,54,53,54,0.8762845849802372,2.4394759674906656,0.859506418162044,4082,1.0,3.5857422831945125,28,1.3866967259072513,0.3267741344226438,-686.6156390222371,-25.288026322985562,0.1423744954944125,4082
homogeneous,101,jitter,4,10,53,53,0.16904761904761906,4.489127906408706,0.9247105205961209,11400,1.0,1.2839473684210527,7,2.9198317657591684,1.5089055945576928,-409.7931718859362,-17.417391867261554,0.04285479098634715,11400
homogeneous,101,jitter,4,53,53,53,0.8271368340360291,2.707085034534218,0.8799945403339609,4197,1.0,3.487491065046462,27,1.414623334734829,0.3377706055340718,-670.6937156638055,-23.327165477248716,0.1373663184290555,4197
homogeneous,101,jitter,20,10,53,53,0.16844207723035953,4.655406554331462,0.9297484458834588,11431,1.0,1.2804654011022658,7,2.925396927902261,1.5185285153144528,-437.30810750963275,-18.882430404746913,0.044372681103438616,11431
homogeneous,101,jitter,20,53,53,53,0.8532423208191127,2.4473827725219652,0.881789269714585,4188,0.9997612225405922,3.4949856733524354,37,1.4160121080701114,0.3378293153774762,-661.2687980373438,-23.08996944630481,0.13750046107164465,4187
homogeneous,101,jitter,80,10,53,53,0.16715793477227348,4.1661224592271315,0.9328436094905291,11429,1.0,1.2806894741447197,6,2.928521402522099,1.5179048794975372,-414.4142799857382,-17.986617734834276,0.04276326492304683,11429
homogeneous,101,jitter,80,53,53,53,0.8802652106084243,2.4053947790192454,0.8496141144713458,4131,0.9997579278625031,3.54320987654321,42,1.39441903022845,0.3324867008636172,-718.3947851492627,-26.73262777974547,0.14261393544458878,4130
homogeneous,102,none,0,10,54,54,0.16237774190485235,4.291782916783963,0.9240612874229766,11412,1.0,1.2740974412898702,7,2.9512926592915374,1.5365096494223165,-392.45851540316,-16.1059533329423,0.042052824365962804,11412
homogeneous,102,none,0,54,54,54,0.8666666666666667,2.476074480695871,0.8758633045208843,4055,1.0,3.5856966707768185,27,1.3880376127594456,0.32677907502721604,-674.1443675320355,-24.602593027301165,0.13921841618055703,4055
homogeneous,102,shuffle,0,10,54,54,0.15687382297551788,4.489685019855046,0.9480803949931862,11478,1.0,1.2667712144972991,7,2.9773803555354785,1.5578351748698762,-371.12260721863703,-16.259020679809062,0.03870950662776573,11478
homogeneous,102,shuffle,0,54,54,54,0.841233140655106,2.465623292486578,0.8702138831702287,4115,0.9995139732685298,3.5334143377885785,32,1.4085645360429897,0.3340727875307995,-649.2328253048538,-22.770414754648673,0.1371658675367693,4113
homogeneous,102,jitter,4,10,54,54,0.16494943713031865,4.212313197478298,0.9602756342690802,11382,1.0,1.277455631699174,7,2.937053243801932,1.52696455627192,-417.52818554069415,-17.320656924537186,0.043670664222399846,11382
homogeneous,102,jitter,4,54,54,54,0.8696850393700788,2.5029227054457954,0.8716378833453717,4063,1.0,3.5786364755107063,27,1.388366247407662,0.3275455986657819,-682.8970088845228,-25.023359612037964,0.13986280634686687,4063
homogeneous,102,jitter,20,10,54,54,0.1625178826895565,4.645962471806414,0.9289929551637197,11401,1.0,1.2753267257258136,7,2.9474542599679108,1.5329991942455505,-393.32433832117084,-17.107175552213324,0.04127895994333908,11401
homogeneous,102,jitter,20,54,54,54,0.8661354581673307,2.551238605897022,0.8745408775250021,4079,1.0,3.564599166462368,27,1.388628770462832,0.32908023288824706,-702.8111361267221,-25.429086974171764,0.14662781242725081,4079
homogeneous,102,jitter,80,10,54,54,0.16215701219512196,4.014371602772155,0.9494501478198932,11393,1.0,1.2762222417273765,6,2.945097009635022,1.5304538540230999,-391.42184922969216,-16.84111699791568,0.04153460443030754,11393
homogeneous,102,jitter,80,54,54,54,0.8952676493405741,2.6092368266703163,0.8516762630333186,4094,1.0,3.5515388373229118,24,1.3918006659207567,0.3305208843884526,-703.9458362585608,-26.349429917743198,0.1409982336325621,4094
homogeneous,103,none,0,10,54,54,0.15979629095800904,4.799794510506931,0.9253437512472855,11335,1.0,1.2730480811645346,7,2.9471820876544452,1.5395214666492207,-432.33337694365343,-19.165218051614733,0.0436466187483745,11335
homogeneous,103,none,0,54,54,54,0.8443564356435643,2.5329622777133087,0.8527204774218285,4088,1.0,3.529843444227006,26,1.4034454128994458,0.3329418417874036,-662.3710916021857,-23.8119123774878,0.13959771612196664,4088
homogeneous,103,shuffle,0,10,54,54,0.1621387283236994,4.446846567460973,0.9512356755906297,11297,1.0,1.2773302646720368,8,2.941037027915309,1.5273183608157246,-392.96369485723056,-16.871811970616466,0.041471148881333075,11297
homogeneous,103,shuffle,0,54,54,54,0.8401544401544402,2.484421246936487,0.8593646038221254,4126,1.0,3.497333979641299,25,1.4109706393410715,0.3366360255894322,-667.8011541237468,-24.026109146905398,0.13630581958748988,4126
homogeneous,103,jitter,4,10,54,54,0.16240298936476,4.542069045628896,0.9145203615142805,11350,1.0,1.2713656387665198,6,2.9500927328612416,1.544379775800294,-445.1622821370104,-20.184862819067327,0.044211049906587974,11350
homogeneous,103,jitter,4,54,54,54,0.8488783943329398,2.5277027945305406,0.8695208019125722,4089,1.0,3.528980190755686,27,1.405921504876817,0.33303889774630435,-648.8278483417649,-22.722883765269984,0.13672931496439905,4089
homogeneous,103,jitter,20,10,54,54,0.1593663517511213,4.487155986279151,0.9154561811811606,11369,1.0,1.2692409182865687,6,2.961025519912143,1.550567712822509,-419.0039723723533,-19.007302867806455,0.04213274475691331,11369
homogeneous,103,jitter,20,54,54,54,0.8534784298484259,2.5521014210540103,0.8651200456882687,4105,1.0,3.515225334957369,25,1.4076862302581272,0.3345929617635425,-659.5682269725618,-23.269771765805615,0.1421363747087383,4105
homogeneous,103,jitter,80,10,54,54,0.16335498662590753,4.340342800164611,0.9549575750039125,11337,1.0,1.2728234982799682,7,2.9527144618828363,1.540167879082846,-403.73490733734997,-17.216768974650133,0.04227508247580536,11337
homogeneous,103,jitter,80,54,54,54,0.8750485060147458,2.328197276152433,0.8513586690222611,4045,1.0,3.5673671199011125,22,1.3946269101793707,0.32877650101403044,-657.6131635543038,-24.135736713517968,0.13821546564958503,4045
homogeneous,104,none,0,10,54,54,0.15313950184676578,4.744947926763998,0.9373329128620923,11448,1.0,1.2587351502445843,7,2.9981768275581313,1.5820576941658158,-394.80371493571124,-17.69457941854193,0.04027765537811856,11448
homogeneous,104,none,0,54,54,54,0.8614410134600158,2.5783585919508067,0.8332490133677124,4091,0.9997555609875336,3.5223661696406747,34,1.4016438761267498,0.3346282553921778,-693.9054050989921,-26.204260542057014,0.1470840321963809,4090
homogeneous,104,shuffle,0,10,54,54,0.1529243937232525,4.857551077193146,0.9320616271544568,11429,1.0,1.260827718960539,7,2.98873946472707,1.575663595315497,-410.3863979090771,-18.62768033813785,0.04117267966159277,11429
homogeneous,104,shuffle,0,54,54,54,0.8665893271461717,2.512148186540547,0.8386714760151432,4059,1.0,3.5501355013550135,22,1.3976452517786928,0.33067642568171574,-664.9449632652803,-24.694815586734038,0.13835249653702347,4059
homogeneous,104,jitter,4,10,54,54,0.1549322467544774,4.429672180782359,0.9323456250579336,11436,1.0,1.2600559636236446,6,2.9915601694507767,1.5780145619734767,-408.3596680858419,-18.661312782285084,0.04099289485859092,11436
homogeneous,104,jitter,4,54,54,54,0.8687228153420324,2.6701663277606444,0.8366223655396315,4091,0.9997555609875336,3.5223661696406747,34,1.4016069884125297,0.3346282553921778,-694.1271477536944,-26.133263148153237,0.14682494012618902,4090
homogeneous,104,jitter,20,10,54,54,0.15767437434579884,4.376611118356404,0.9291620115612107,11391,1.0,1.26503379861294,6,2.977544819568104,1.5629967592867287,-398.2407399462276,-18.015861594198885,0.040771532756131545,11391
homogeneous,104,jitter,20,54,54,54,0.8529529931699478,2.5383780567181677,0.8515277901765662,4005,0.9997503121098626,3.5980024968789013,33,1.3874465575629724,0.32624239709897496,-662.6554219522635,-24.682703465237125,0.1399035953186391,4004
homogeneous,104,jitter,80,10,54,54,0.1636990235496841,4.614227658630039,0.9449851482624424,11320,1.0,1.2729681978798586,8,2.9522396699196296,1.5397513191017773,-403.3941316917096,-17.89751447615449,0.04129639851291489,11320
homogeneous,104,jitter,80,54,54,54,0.853515625,2.5939347761782505,0.8671755290354781,4100,1.0,3.5146341463414634,30,1.4073667223955777,0.3346600782611523,-661.5012235262918,-23.409988415360644,0.1407100302441548,4100
homogeneous,105,none,0,10,54,54,0.1558019499139744,4.952184391805274,0.9270013953307481,11371,1.0,1.266819101222408,8,2.970943134966804,1.557693487610142,-404.071230740658,-17.815740099407932,0.04137058872392718,11371
homogeneous,105,none,0,54,54,54,0.8509972624168948,2.530860968978732,0.8762820930807262,4089,1.0,3.5228662264612374,28,1.4104537933127563,0.3337279013867127,-629.9255032386063,-22.420486605728197,0.13632008472660373,4089
homogeneous,105,shuffle,0,10,54,54,0.16037735849056603,4.619502654626823,0.9287718233670922,11281,1.0,1.27692580444996,8,2.945240244429959,1.5284611365590477,-374.591608750151,-16.278477638512555,0.04042843722050016,11281
homogeneous,105,shuffle,0,54,54,54,0.8872093023255814,2.6059539492638137,0.8567987554174816,4072,1.0,3.537573673870334,24,1.3968291566324442,0.3320752199572887,-688.909163138341,-25.49302059683959,0.14059722530576196,4072
homogeneous,105,jitter,4,10,54,54,0.15659077864932083,4.800129804994608,0.9245472556793884,11351,1.0,1.2690511849176285,7,2.9654744833027653,1.5511231617400578,-395.7346382274148,-17.66432113241507,0.040894957305998125,11351
homogeneous,105,jitter,4,54,54,54,0.8373000390167772,2.4172803007348542,0.8655267111508329,4104,1.0,3.509990253411306,28,1.4163593700188155,0.3351882203795583,-614.2933770405925,-21.482326694721912,0.13331567127033234,4104
homogeneous,105,jitter,20,10,54,54,0.15995793096854383,4.4092750361985535,0.9101998718610763,11338,1.0,1.2705062621273593,6,2.962328792346094,1.5468754834043708,-388.0406807334655,-17.40360066940101,0.04043450934155868,11338
homogeneous,105,jitter,20,54,54,54,0.8608662322729015,2.5390972536242753,0.8399708663941445,4096,1.0,3.516845703125,23,1.409165978155043,0.3344091412546414,-646.9942678153204,-23.492535919728414,0.13212708842597826,4096
homogeneous,105,jitter,80,10,54,54,0.16030169944624786,4.643774281757648,0.9343467697062986,11351,1.0,1.2690511849176285,7,2.9641685120063297,1.5511231617400578,-403.340656459128,-17.662925489237196,0.04176939690291681,11351
homogeneous,105,jitter,80,54,54,54,0.847265625,2.5298382641955155,0.872278193970553,4070,1.0,3.539312039312039,30,1.4048144779828622,0.33188095005185125,-638.4548797518415,-22.493521857482815,0.13797609875118189,4070
homogeneous,106,none,0,10,54,54,0.15586404978458593,4.623564351102803,0.9197956826404401,11323,1.0,1.2637993464629516,9,2.9815373488262207,1.566689054334382,-394.8323960549906,-17.40717023527942,0.04073915054400201,11323
homogeneous,106,none,0,54,54,54,0.8745203376822717,2.501151802968158,0.8706337150635994,4060,1.0,3.5246305418719213,25,1.4032393900853908,0.3335287848172377,-666.1163921606978,-24.1575531030264,0.14161656901835173,4060
homogeneous,106,shuffle,0,10,54,54,0.16297224363916732,4.666680624170617,0.9356648153053709,11254,1.0,1.2715478940821041,7,2.954913688849805,1.543851722264078,-410.0959332820712,-18.185242334200513,0.042139067539382236,11254
homogeneous,106,shuffle,0,54,54,54,0.8566322478157268,2.4168081889310735,0.8661062838800011,4069,1.0,3.516834603096584,28,1.4017506236384758,0.3344103998014518,-687.0905032209631,-25.41411835108779,0.14579122365516423,4069
homogeneous,106,jitter,4,10,54,54,0.1617844150871147,4.48111614091341,0.9174606948503482,11305,1.0,1.2658115877930118,10,2.971903666208325,1.5606810255811854,-413.9449607231083,-17.95878273411468,0.04221751727349199,11305
homogeneous,106,jitter,4,54,54,54,0.8698841698841698,2.5074554693956763,0.8632585333070146,4055,1.0,3.528976572133169,24,1.401543984168251,0.33303930470758536,-669.5268798073553,-24.278237697771896,0.14234567501880896,4055
homogeneous,106,jitter,20,10,54,54,0.1611047180667434,4.3308443718877125,0.9269117946104959,11285,1.0,1.2680549401860877,6,2.9708062787692864,1.55404750208556,-380.1046745212813,-17.15181915737437,0.03996256062212045,11285
homogeneous,106,jitter,20,54,54,54,0.8681836014123185,2.575667067137873,0.8555063713033854,4060,1.0,3.5246305418719213,24,1.4003455356453909,0.3335287848172377,-683.3845709500907,-24.998296410379965,0.14367371021272074,4060
homogeneous,106,jitter,80,10,54,54,0.1535066679458889,4.750281353605257,0.9374538598412941,11330,1.0,1.263018534863195,7,2.9822032453170078,1.569035293051038,-405.13195681374344,-18.31466902433398,0.04114193070140171,11330
homogeneous,106,jitter,80,54,54,54,0.8673189823874755,2.39835787709322,0.8552210050007045,4013,1.0,3.5659107899327185,22,1.3902231981184539,0.3289362372356054,-680.3045936658147,-25.049665090538088,0.14432808939643815,4013
homogeneous,107,none,0,10,55,55,0.15465193791067516,4.472839185750311,0.9193515831499834,11347,1.0,1.2581299021767869,6,3.0017703645333587,1.583918737782318,-381.8921702244097,-17.490106808545647,0.0394465618487837,11347
homogeneous,107,none,0,55,55,55,0.876750700280112,2.5247196018768405,0.8511939321160771,3993,1.0,3.575256699223641,23,1.3858306438718895,0.3279137992621487,-690.4326601586998,-25.629038471184938,0.14530837715504624,3993
homogeneous,107,shuffle,0,10,55,55,0.15934912382052763,4.5352588155341955,0.9450161263802102,11269,1.0,1.2668382287691897,7,2.9706152379012227,1.5576369016215206,-401.99709075204566,-17.658255785995127,0.0417450994519335,11269
homogeneous,107,shuffle,0,55,55,55,0.8878067783404753,2.4849872880947528,0.8398392982781133,4028,1.0,3.544190665342602,25,1.3980841635040822,0.3313369425901417,-665.1943530567253,-24.386315556484636,0.1399560163460185,4028
homogeneous,107,jitter,4,10,55,55,0.15781414489424825,3.881884870457188,0.9415153240955009,11321,1.0,1.2610193445808675,5,2.9857087083023988,1.5750811547698493,-420.3600070653598,-19.499344067261486,0.04214577882117465,11321
homogeneous,107,jitter,4,55,55,55,0.8793309438470729,2.5258809556166715,0.8568333660029901,4003,1.0,3.5663252560579566,26,1.3888009271056223,0.32889076127424466,-686.4304753729892,-25.418458465652517,0.14562111379443882,4003
homogeneous,107,jitter,20,10,55,55,0.15025216481111428,4.794302168199728,0.9376803354942431,11369,1.0,1.2556953118128245,7,3.011956896827824,1.591458184051172,-369.26123008092634,-16.95604181314112,0.03813428392211193,11369
homogeneous,107,jitter,20,55,55,55,0.8680161943319838,2.5305728048198173,0.8418897195714803,3957,0.9997472832954258,3.6077836745008844,33,1.380954150103987,0.32519900570557536,-679.9590381768468,-25.24217680836606,0.143020888293038,3956
homogeneous,107,jitter,80,10,55,55,0.16202507416977702,4.355970041664847,0.9319947019047666,11278,1.0,1.2658272743394219,6,2.9726242934487193,1.5606344059475012,-408.5368406457983,-18.50332227890351,0.041765536597445196,11278
homogeneous,107,jitter,80,55,55,55,0.8988311164852882,2.6381023162609143,0.8518262557070176,3990,0.9997493734335839,3.5779448621553884,37,1.3894909401540776,0.3285355756822671,-675.7350505679999,-25.30502483876787,0.14675406295430898,3989
homogeneous,108,none,0,10,54,54,0.1654070601741127,4.446834344123153,0.9224175537183202,11314,1.0,1.272229096694361,6,2.9519813285095555,1.5418818561001264,-417.58108436916274,-19.01281559896763,0.04216968580222957,11314
homogeneous,108,none,0,54,54,54,0.8860083873427373,2.5764819457598276,0.8414292876797349,4105,1.0,3.5064555420219246,22,1.4008277457502896,0.33559132640178135,-713.0105202819543,-26.718378023063316,0.1423470656157227,4105
homogeneous,108,shuffle,0,10,54,54,0.16449338356032067,4.6514252325561145,0.9164474122507148,11277,1.0,1.2764032987496674,9,2.9373289715593796,1.5299404523004072,-430.1810531477694,-18.894238933109644,0.04363196142450132,11277
homogeneous,108,shuffle,0,54,54,54,0.884952229299363,2.4975975884022694,0.8333484585993127,4019,1.0,3.581487932321473,24,1.3838662663883223,0.32723558937524844,-698.3255336459811,-26.0120625498578,0.13945645560887632,4019
homogeneous,108,jitter,4,10,54,54,0.1637483163363479,4.796038269578488,0.9285473865030317,11291,1.0,1.2748206536179258,7,2.9431567335975277,1.5344420676193744,-423.61139323065123,-18.93007300763599,0.04312901242135292,11291
